model	arm	source_kind	lane	slot	attempt	run_dir
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T040753_lilac_gemma-4-31b-it_f1a41069
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T042315_lilac_gemma-4-31b-it_ea65fc8a
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T052133_lilac_gemma-4-31b-it_e6384224
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T081205_lilac_gemma-4-31b-it_59688cd3
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T082537_lilac_gemma-4-31b-it_99cc0104
gemma431	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T084018_lilac_gemma-4-31b-it_defcbb8b
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T032927_lilac_gemma-4-31b-it_19186279
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T033926_lilac_gemma-4-31b-it_62f63574
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T035156_lilac_gemma-4-31b-it_a8e8a708
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T040131_lilac_gemma-4-31b-it_792ee9df
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T041608_lilac_gemma-4-31b-it_91678da3
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T042701_lilac_gemma-4-31b-it_d8a2a30e
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T081713_lilac_gemma-4-31b-it_1cd8a6c4
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T082843_lilac_gemma-4-31b-it_24a5b5f2
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T084250_lilac_gemma-4-31b-it_a3779af9
gemma431	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T085420_lilac_gemma-4-31b-it_6641f0d2
