campaign_level	macro_block	arm	half	snapshot_id	seed_start	seed_stop
4096	4	fp8	second	turn12-golden	768	1024
4096	4	fp8	second	turn12-baseten_bf16-01	192	256
4096	4	fp8	second	turn12-baseten_bf16-02	192	256
4096	4	fp8	second	turn12-baseten_bf16-03	192	256
4096	4	fp8	second	turn12-baseten_bf16-04	192	256
4096	4	fp8	second	turn12-local_fp8-01	192	256
4096	4	fp8	second	turn12-local_fp8-02	192	256
4096	4	fp8	second	turn12-local_fp8-03	192	256
4096	4	fp8	second	turn12-local_fp8-04	192	256
4096	4	fp8	second	turn12-local_bf16-01	192	256
4096	4	fp8	second	turn12-local_bf16-02	192	256
4096	4	fp8	second	turn12-local_bf16-03	192	256
4096	4	fp8	second	turn12-local_bf16-04	192	256
4096	4	fp8	second	turn15-golden	768	1024
4096	4	fp8	second	turn15-baseten_bf16-01	192	256
4096	4	fp8	second	turn15-baseten_bf16-02	192	256
4096	4	fp8	second	turn15-baseten_bf16-03	192	256
4096	4	fp8	second	turn15-baseten_bf16-04	192	256
4096	4	fp8	second	turn15-local_fp8-01	192	256
4096	4	fp8	second	turn15-local_fp8-02	192	256
4096	4	fp8	second	turn15-local_fp8-03	192	256
4096	4	fp8	second	turn15-local_fp8-04	192	256
4096	4	fp8	second	turn15-local_bf16-01	192	256
4096	4	fp8	second	turn15-local_bf16-02	192	256
4096	4	fp8	second	turn15-local_bf16-03	192	256
4096	4	fp8	second	turn15-local_bf16-04	192	256
8192	1	fp8	first	turn12-golden	1024	1536
8192	1	fp8	first	turn12-baseten_bf16-01	256	384
8192	1	fp8	first	turn12-baseten_bf16-02	256	384
8192	1	fp8	first	turn12-baseten_bf16-03	256	384
8192	1	fp8	first	turn12-baseten_bf16-04	256	384
8192	1	fp8	first	turn12-local_fp8-01	256	384
8192	1	fp8	first	turn12-local_fp8-02	256	384
8192	1	fp8	first	turn12-local_fp8-03	256	384
8192	1	fp8	first	turn12-local_fp8-04	256	384
8192	1	fp8	first	turn12-local_bf16-01	256	384
8192	1	fp8	first	turn12-local_bf16-02	256	384
8192	1	fp8	first	turn12-local_bf16-03	256	384
8192	1	fp8	first	turn12-local_bf16-04	256	384
8192	1	fp8	first	turn15-golden	1024	1536
8192	1	fp8	first	turn15-baseten_bf16-01	256	384
8192	1	fp8	first	turn15-baseten_bf16-02	256	384
8192	1	fp8	first	turn15-baseten_bf16-03	256	384
