model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
terra	dots96	runs/aiwf_medium_context/20260719T100311_gpt-5.6-terra_6d5fda4b	30	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T101732_gpt-5.6-terra_a1a66116	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T101748_gpt-5.6-terra_e2b0590b	18	-1	incomplete_no_end_session	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T101856_gpt-5.6-terra_746bed10	18	-1	incomplete_no_end_session	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T102005_gpt-5.6-terra_39743e0a	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T132826_gpt-5.6-terra_a435ce93	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T132843_gpt-5.6-terra_b58bb799	30	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133027_gpt-5.6-terra_e9044498	31	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133223_gpt-5.6-terra_c131ac77	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133239_gpt-5.6-terra_42de6dc3	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133255_gpt-5.6-terra_fdf7f931	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133314_gpt-5.6-terra_7f3e3e49	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133331_gpt-5.6-terra_d54f3b06	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133352_gpt-5.6-terra_8b4effd5	7	-1	incomplete_no_end_session	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133700_gpt-5.6-terra_cd0e6cd1	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133715_gpt-5.6-terra_fc7dd2dd	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133732_gpt-5.6-terra_6c7e4a2f	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133749_gpt-5.6-terra_899099bb	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133814_gpt-5.6-terra_a57e15e0	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T133834_gpt-5.6-terra_f67070f5	31	29	strict_complete	1	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
terra	dots96	runs/aiwf_medium_context/20260719T134037_gpt-5.6-terra_a7f7d1d7	14	13	model_abort	0	attempt-reconstruction	chronological first 30 Jul-19 dot attempts
sol	nofiller	runs/aiwf_medium_context/20260719T085708_gpt-5.6-sol_abf97165	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T091117_gpt-5.6-sol_09e4ba22	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T092714_gpt-5.6-sol_d63da36b	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T094219_gpt-5.6-sol_77de886d	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T095630_gpt-5.6-sol_7fad7c14	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T101005_gpt-5.6-sol_2c3691e8	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T124005_gpt-5.6-sol_8babee23	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T124229_gpt-5.6-sol_b0138564	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T124445_gpt-5.6-sol_4f8564d2	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	nofiller	runs/aiwf_medium_context/20260719T124723_gpt-5.6-sol_875c4227	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
