slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
48	dots96	1	2026-08-12T16:59:47+00:00	2026-08-12T17:02:39+00:00	-15	runs/aiwf_medium_context/20260812T165947Z_nemotron-3.5-lightning_dots96_slot048_attempt01_7c188cc7	3	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot048-dots96-attempt01.log
49	dots96	1	2026-08-12T17:02:39+00:00	2026-08-12T17:05:32+00:00	-15	runs/aiwf_medium_context/20260812T170239Z_nemotron-3.5-lightning_dots96_slot049_attempt01_2fcb6acf	3	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot049-dots96-attempt01.log
50	dashes96	1	2026-08-12T17:05:32+00:00	2026-08-12T17:08:54+00:00	-15	runs/aiwf_medium_context/20260812T170532Z_nemotron-3.5-lightning_dashes96_slot050_attempt01_ef5be131	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot050-dashes96-attempt01.log
51	dashes96	1	2026-08-12T17:08:54+00:00	2026-08-12T17:12:16+00:00	-15	runs/aiwf_medium_context/20260812T170854Z_nemotron-3.5-lightning_dashes96_slot051_attempt01_7c36bc4f	11	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot051-dashes96-attempt01.log
52	dots96	1	2026-08-12T17:12:16+00:00	2026-08-12T17:14:59+00:00	-15	runs/aiwf_medium_context/20260812T171216Z_nemotron-3.5-lightning_dots96_slot052_attempt01_f93d8327	1	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot052-dots96-attempt01.log
53	dots96	1	2026-08-12T17:14:59+00:00	2026-08-12T17:18:01+00:00	-15	runs/aiwf_medium_context/20260812T171459Z_nemotron-3.5-lightning_dots96_slot053_attempt01_313dc669	6	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot053-dots96-attempt01.log
54	dashes96	1	2026-08-12T17:18:01+00:00	2026-08-12T17:20:56+00:00	-15	runs/aiwf_medium_context/20260812T171801Z_nemotron-3.5-lightning_dashes96_slot054_attempt01_1c05413a	4	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot054-dashes96-attempt01.log
55	dashes96	1	2026-08-12T17:20:56+00:00	2026-08-12T17:24:24+00:00	-15	runs/aiwf_medium_context/20260812T172056Z_nemotron-3.5-lightning_dashes96_slot055_attempt01_72a1ebbd	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot055-dashes96-attempt01.log
56	dots96	1	2026-08-12T17:24:24+00:00	2026-08-12T17:27:43+00:00	-15	runs/aiwf_medium_context/20260812T172424Z_nemotron-3.5-lightning_dots96_slot056_attempt01_be3d02a5	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot056-dots96-attempt01.log
57	dots96	1	2026-08-12T17:27:43+00:00	2026-08-12T17:30:27+00:00	-15	runs/aiwf_medium_context/20260812T172743Z_nemotron-3.5-lightning_dots96_slot057_attempt01_db3d2a7f	1	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot057-dots96-attempt01.log
58	dashes96	1	2026-08-12T17:30:27+00:00	2026-08-12T17:33:49+00:00	-15	runs/aiwf_medium_context/20260812T173027Z_nemotron-3.5-lightning_dashes96_slot058_attempt01_b7ab4ea9	11	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot058-dashes96-attempt01.log
59	dashes96	1	2026-08-12T17:33:49+00:00	2026-08-12T17:37:20+00:00	-15	runs/aiwf_medium_context/20260812T173349Z_nemotron-3.5-lightning_dashes96_slot059_attempt01_7258f651	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot059-dashes96-attempt01.log
60	dots96	1	2026-08-12T17:37:20+00:00	2026-08-12T17:40:13+00:00	-15	runs/aiwf_medium_context/20260812T173720Z_nemotron-3.5-lightning_dots96_slot060_attempt01_7a1e80cd	3	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot060-dots96-attempt01.log
