slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
34	none	1	2026-08-07T10:23:53+00:00	2026-08-07T10:24:36+00:00	unknown	runs/aiwf_medium_context/20260807T102353Z_google_gemma-4-31B-it_none_slot034_attempt01_16027921	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot034-none-attempt01.log
35	none	1	2026-08-07T10:24:37+00:00	2026-08-07T10:25:21+00:00	unknown	runs/aiwf_medium_context/20260807T102437Z_google_gemma-4-31B-it_none_slot035_attempt01_e44fe231	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot035-none-attempt01.log
36	none	1	2026-08-07T10:25:21+00:00	2026-08-07T10:26:11+00:00	unknown	runs/aiwf_medium_context/20260807T102521Z_google_gemma-4-31B-it_none_slot036_attempt01_5c8d5848	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot036-none-attempt01.log
37	none	1	2026-08-07T10:26:11+00:00	2026-08-07T10:26:55+00:00	unknown	runs/aiwf_medium_context/20260807T102611Z_google_gemma-4-31B-it_none_slot037_attempt01_54c77495	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot037-none-attempt01.log
38	none	1	2026-08-07T10:26:55+00:00	2026-08-07T10:27:40+00:00	unknown	runs/aiwf_medium_context/20260807T102655Z_google_gemma-4-31B-it_none_slot038_attempt01_d86ad860	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot038-none-attempt01.log
39	none	1	2026-08-07T10:27:40+00:00	2026-08-07T10:28:24+00:00	unknown	runs/aiwf_medium_context/20260807T102740Z_google_gemma-4-31B-it_none_slot039_attempt01_86ddcd19	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot039-none-attempt01.log
40	none	1	2026-08-07T10:28:24+00:00	2026-08-07T10:29:06+00:00	unknown	runs/aiwf_medium_context/20260807T102824Z_google_gemma-4-31B-it_none_slot040_attempt01_5d02603e	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot040-none-attempt01.log
41	none	1	2026-08-07T10:29:06+00:00	2026-08-07T10:29:50+00:00	unknown	runs/aiwf_medium_context/20260807T102906Z_google_gemma-4-31B-it_none_slot041_attempt01_87c53890	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot041-none-attempt01.log
42	none	1	2026-08-07T10:29:50+00:00	2026-08-07T10:30:37+00:00	unknown	runs/aiwf_medium_context/20260807T102950Z_google_gemma-4-31B-it_none_slot042_attempt01_0f95d58f	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot042-none-attempt01.log
43	none	1	2026-08-07T10:30:37+00:00	2026-08-07T10:31:20+00:00	unknown	runs/aiwf_medium_context/20260807T103037Z_google_gemma-4-31B-it_none_slot043_attempt01_b93e3369	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot043-none-attempt01.log
44	none	1	2026-08-07T10:31:20+00:00	2026-08-07T10:32:04+00:00	unknown	runs/aiwf_medium_context/20260807T103120Z_google_gemma-4-31B-it_none_slot044_attempt01_53508cf9	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot044-none-attempt01.log
45	none	1	2026-08-07T10:32:05+00:00	2026-08-07T10:32:50+00:00	unknown	runs/aiwf_medium_context/20260807T103205Z_google_gemma-4-31B-it_none_slot045_attempt01_1b795772	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot045-none-attempt01.log
46	none	1	2026-08-07T10:32:50+00:00	2026-08-07T10:33:35+00:00	unknown	runs/aiwf_medium_context/20260807T103250Z_google_gemma-4-31B-it_none_slot046_attempt01_456aabc7	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot046-none-attempt01.log
47	none	1	2026-08-07T10:33:35+00:00	2026-08-07T10:34:17+00:00	unknown	runs/aiwf_medium_context/20260807T103335Z_google_gemma-4-31B-it_none_slot047_attempt01_e0f91e36	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot047-none-attempt01.log
