slot	pair	arm	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	end_session_turn	classification	log
IS-35	18	low	1	2026-07-31T18:09:32+00:00	2026-07-31T18:10:33+00:00	0	runs/aiwf_medium_context/20260731T110934_thinkingmachines_inkling-small_0dcd09b2	22	22	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-35-attempt-1.log
IS-36	18	none	1	2026-07-31T18:10:33+00:00	2026-07-31T18:10:53+00:00	0	runs/aiwf_medium_context/20260731T111034_thinkingmachines_inkling-small_0e4810c9	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-36-attempt-1.log
IS-37	19	low	1	2026-07-31T18:10:53+00:00	2026-07-31T18:11:51+00:00	0	runs/aiwf_medium_context/20260731T111054_thinkingmachines_inkling-small_7a4862a2	18	18	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-37-attempt-1.log
IS-38	19	none	1	2026-07-31T18:11:51+00:00	2026-07-31T18:12:14+00:00	0	runs/aiwf_medium_context/20260731T111153_thinkingmachines_inkling-small_e990c834	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-38-attempt-1.log
IS-39	20	low	1	2026-07-31T18:12:14+00:00	2026-07-31T18:13:17+00:00	0	runs/aiwf_medium_context/20260731T111216_thinkingmachines_inkling-small_c9f4a20d	21	21	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-39-attempt-1.log
IS-40	20	none	1	2026-07-31T18:13:17+00:00	2026-07-31T18:13:41+00:00	0	runs/aiwf_medium_context/20260731T111319_thinkingmachines_inkling-small_93e77d0d	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-40-attempt-1.log
IS-41	21	none	1	2026-07-31T18:13:41+00:00	2026-07-31T18:14:45+00:00	0	runs/aiwf_medium_context/20260731T111342_thinkingmachines_inkling-small_d66afdca	24	24	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-41-attempt-1.log
IS-42	21	low	1	2026-07-31T18:14:45+00:00	2026-07-31T18:14:55+00:00	0	runs/aiwf_medium_context/20260731T111446_thinkingmachines_inkling-small_ebe1f264	16	16	30	recovery_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-42-attempt-1.log
IS-43	22	low	1	2026-07-31T18:14:55+00:00	2026-07-31T18:15:05+00:00	0	runs/aiwf_medium_context/20260731T111456_thinkingmachines_inkling-small_7c21ca9a	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-43-attempt-1.log
IS-44	22	none	1	2026-07-31T18:15:05+00:00	2026-07-31T18:16:12+00:00	0	runs/aiwf_medium_context/20260731T111506_thinkingmachines_inkling-small_c8230dc1	25	25	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-44-attempt-1.log
IS-45	23	none	1	2026-07-31T18:16:12+00:00	2026-07-31T18:16:29+00:00	0	runs/aiwf_medium_context/20260731T111613_thinkingmachines_inkling-small_1e7ce740	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-45-attempt-1.log
IS-46	23	low	1	2026-07-31T18:16:29+00:00	2026-07-31T18:17:32+00:00	0	runs/aiwf_medium_context/20260731T111631_thinkingmachines_inkling-small_5c0bfd3f	18	18	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-46-attempt-1.log
IS-47	24	none	1	2026-07-31T18:17:32+00:00	2026-07-31T18:17:49+00:00	0	runs/aiwf_medium_context/20260731T111733_thinkingmachines_inkling-small_321519f6	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-47-attempt-1.log
IS-48	24	low	1	2026-07-31T18:17:49+00:00	2026-07-31T18:18:45+00:00	0	runs/aiwf_medium_context/20260731T111751_thinkingmachines_inkling-small_4c834cd8	13	13	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-48-attempt-1.log
IS-49	25	low	1	2026-07-31T18:18:45+00:00	2026-07-31T18:18:55+00:00	0	runs/aiwf_medium_context/20260731T111847_thinkingmachines_inkling-small_80b4e92b	16	16	30	recovery_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-49-attempt-1.log
IS-50	25	none	1	2026-07-31T18:18:55+00:00	2026-07-31T18:19:18+00:00	0	runs/aiwf_medium_context/20260731T111857_thinkingmachines_inkling-small_b5feeddb	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-50-attempt-1.log
IS-51	26	none	1	2026-07-31T18:19:18+00:00	2026-07-31T18:20:21+00:00	0	runs/aiwf_medium_context/20260731T111920_thinkingmachines_inkling-small_9807f01b	16	16	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-51-attempt-1.log
IS-52	26	low	1	2026-07-31T18:20:21+00:00	2026-07-31T18:20:42+00:00	0	runs/aiwf_medium_context/20260731T112023_thinkingmachines_inkling-small_23176e01	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-52-attempt-1.log
IS-53	27	low	1	2026-07-31T18:20:42+00:00	2026-07-31T18:20:51+00:00	0	runs/aiwf_medium_context/20260731T112043_thinkingmachines_inkling-small_03d6f97b	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-53-attempt-1.log
IS-54	27	none	1	2026-07-31T18:20:51+00:00	2026-07-31T18:21:51+00:00	0	runs/aiwf_medium_context/20260731T112052_thinkingmachines_inkling-small_24bb324c	11	11	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-54-attempt-1.log
IS-55	28	none	1	2026-07-31T18:21:51+00:00	2026-07-31T18:22:09+00:00	0	runs/aiwf_medium_context/20260731T112152_thinkingmachines_inkling-small_8d369ad9	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-55-attempt-1.log
IS-56	28	low	1	2026-07-31T18:22:09+00:00	2026-07-31T18:22:21+00:00	0	runs/aiwf_medium_context/20260731T112211_thinkingmachines_inkling-small_8680d2b9	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-56-attempt-1.log
IS-57	29	none	1	2026-07-31T18:22:21+00:00	2026-07-31T18:23:13+00:00	0	runs/aiwf_medium_context/20260731T112223_thinkingmachines_inkling-small_4de15ba3	3	3	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-57-attempt-1.log
IS-58	29	low	1	2026-07-31T18:23:13+00:00	2026-07-31T18:23:25+00:00	0	runs/aiwf_medium_context/20260731T112315_thinkingmachines_inkling-small_ac3756e8	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-58-attempt-1.log
IS-59	30	low	1	2026-07-31T18:23:25+00:00	2026-07-31T18:23:34+00:00	0	runs/aiwf_medium_context/20260731T112326_thinkingmachines_inkling-small_0815765c	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-59-attempt-1.log
IS-60	30	none	1	2026-07-31T18:23:34+00:00	2026-07-31T18:24:00+00:00	0	runs/aiwf_medium_context/20260731T112335_thinkingmachines_inkling-small_a5d6ea4d	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-60-attempt-1.log
