ordinal	block	position	arm	arm_index	attempt	run_dir	run_rc	records	scripted_turns	request_verified	status	started_utc	finished_utc
73	19	1	high	19	1	runs/aiwf_medium_context/20260811T072029_muse-glimmer-30b_22299983	0	35	30	1	included	2026-08-11T14:20:27Z	2026-08-11T14:21:25Z
74	19	2	xhigh	19	1	runs/aiwf_medium_context/20260811T072127_muse-glimmer-30b_0c8eae79	0	35	30	1	included	2026-08-11T14:21:25Z	2026-08-11T14:22:28Z
75	19	3	medium	19	1	runs/aiwf_medium_context/20260811T072230_muse-glimmer-30b_a0ec49a8	0	32	30	1	included	2026-08-11T14:22:28Z	2026-08-11T14:23:27Z
76	19	4	low	19	1	runs/aiwf_medium_context/20260811T072328_muse-glimmer-30b_1766ecd1	0	34	30	1	included	2026-08-11T14:23:27Z	2026-08-11T14:24:08Z
77	20	1	xhigh	20	1	runs/aiwf_medium_context/20260811T072410_muse-glimmer-30b_0ac83533	0	33	30	1	included	2026-08-11T14:24:08Z	2026-08-11T14:24:59Z
78	20	2	low	20	1	runs/aiwf_medium_context/20260811T072500_muse-glimmer-30b_462b1551	0	33	30	1	included	2026-08-11T14:24:59Z	2026-08-11T14:25:42Z
79	20	3	high	20	1	runs/aiwf_medium_context/20260811T072543_muse-glimmer-30b_47be725a	0	34	30	1	included	2026-08-11T14:25:42Z	2026-08-11T14:26:42Z
80	20	4	medium	20	1	runs/aiwf_medium_context/20260811T072643_muse-glimmer-30b_75d9758d	0	35	30	1	included	2026-08-11T14:26:42Z	2026-08-11T14:27:55Z
81	21	1	low	21	1	runs/aiwf_medium_context/20260811T072756_muse-glimmer-30b_5c99203e	0	34	30	1	included	2026-08-11T14:27:55Z	2026-08-11T14:28:30Z
82	21	2	medium	21	1	runs/aiwf_medium_context/20260811T072832_muse-glimmer-30b_c80ac78a	0	35	30	1	included	2026-08-11T14:28:30Z	2026-08-11T14:29:26Z
83	21	3	xhigh	21	1	runs/aiwf_medium_context/20260811T072927_muse-glimmer-30b_48daf8d4	0	33	30	1	included	2026-08-11T14:29:26Z	2026-08-11T14:30:24Z
84	21	4	high	21	1	runs/aiwf_medium_context/20260811T073026_muse-glimmer-30b_9b0fda47	0	33	30	1	included	2026-08-11T14:30:24Z	2026-08-11T14:31:23Z
85	22	1	medium	22	1	runs/aiwf_medium_context/20260811T073124_muse-glimmer-30b_b0f70eb0	0	34	30	1	included	2026-08-11T14:31:23Z	2026-08-11T14:32:09Z
86	22	2	high	22	1	runs/aiwf_medium_context/20260811T073210_muse-glimmer-30b_970e51e6	0	34	30	1	included	2026-08-11T14:32:09Z	2026-08-11T14:33:07Z
87	22	3	low	22	1	runs/aiwf_medium_context/20260811T073309_muse-glimmer-30b_898506ea	0	34	30	1	included	2026-08-11T14:33:07Z	2026-08-11T14:33:49Z
88	22	4	xhigh	22	1	runs/aiwf_medium_context/20260811T073351_muse-glimmer-30b_3c83f090	0	34	30	1	included	2026-08-11T14:33:49Z	2026-08-11T14:34:50Z
89	23	1	high	23	1	runs/aiwf_medium_context/20260811T073452_muse-glimmer-30b_fc79ed13	0	34	30	1	included	2026-08-11T14:34:50Z	2026-08-11T14:35:43Z
90	23	2	xhigh	23	1	runs/aiwf_medium_context/20260811T073545_muse-glimmer-30b_0bded22f	0	35	30	1	included	2026-08-11T14:35:43Z	2026-08-11T14:36:55Z
91	23	3	medium	23	1	runs/aiwf_medium_context/20260811T073656_muse-glimmer-30b_12f37550	0	34	30	1	included	2026-08-11T14:36:55Z	2026-08-11T14:38:03Z
92	23	4	low	23	1	runs/aiwf_medium_context/20260811T073804_muse-glimmer-30b_d3a37e08	0	35	30	1	included	2026-08-11T14:38:03Z	2026-08-11T14:38:49Z
