slot	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	tool_calls	token_rows	end_session_turn	classification	log
K26-18	1	2026-08-06T16:55:28+00:00	2026-08-06T16:56:01+00:00	0	runs/aiwf_medium_context/20260806T165528Z_moonshotai_Kimi-K2.6_none_K26-18_attempt01_ae09a478	30	30	4	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-18-attempt-01.log
K26-19	1	2026-08-06T16:56:31+00:00	2026-08-06T16:57:06+00:00	0	runs/aiwf_medium_context/20260806T165631Z_moonshotai_Kimi-K2.6_none_K26-19_attempt01_092b7b0c	30	30	2	30	-1	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-19-attempt-01.log
K26-20	1	2026-08-06T16:57:36+00:00	2026-08-06T16:58:12+00:00	0	runs/aiwf_medium_context/20260806T165736Z_moonshotai_Kimi-K2.6_none_K26-20_attempt01_ef2ceb9b	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-20-attempt-01.log
K26-21	1	2026-08-06T16:58:42+00:00	2026-08-06T16:59:12+00:00	0	runs/aiwf_medium_context/20260806T165842Z_moonshotai_Kimi-K2.6_none_K26-21_attempt01_4c721d08	30	30	4	30	31	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-21-attempt-01.log
K26-22	1	2026-08-06T16:59:42+00:00	2026-08-06T17:00:24+00:00	0	runs/aiwf_medium_context/20260806T165942Z_moonshotai_Kimi-K2.6_none_K26-22_attempt01_26ca14f5	30	30	5	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-22-attempt-01.log
K26-23	1	2026-08-06T17:00:54+00:00	2026-08-06T17:01:44+00:00	0	runs/aiwf_medium_context/20260806T170054Z_moonshotai_Kimi-K2.6_none_K26-23_attempt01_021ed2e5	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-23-attempt-01.log
K26-24	1	2026-08-06T17:02:14+00:00	2026-08-06T17:02:47+00:00	0	runs/aiwf_medium_context/20260806T170214Z_moonshotai_Kimi-K2.6_none_K26-24_attempt01_7b073d60	30	30	2	30	-1	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-24-attempt-01.log
K26-25	1	2026-08-06T17:03:17+00:00	2026-08-06T17:04:00+00:00	0	runs/aiwf_medium_context/20260806T170317Z_moonshotai_Kimi-K2.6_none_K26-25_attempt01_3430fa65	30	30	2	30	-1	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-25-attempt-01.log
K26-26	1	2026-08-06T17:04:30+00:00	2026-08-06T17:05:07+00:00	0	runs/aiwf_medium_context/20260806T170430Z_moonshotai_Kimi-K2.6_none_K26-26_attempt01_cecca9c8	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-26-attempt-01.log
K26-27	1	2026-08-06T17:05:38+00:00	2026-08-06T17:06:13+00:00	0	runs/aiwf_medium_context/20260806T170538Z_moonshotai_Kimi-K2.6_none_K26-27_attempt01_aff1495e	30	30	5	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-27-attempt-01.log
K26-28	1	2026-08-06T17:06:43+00:00	2026-08-06T17:07:13+00:00	0	runs/aiwf_medium_context/20260806T170643Z_moonshotai_Kimi-K2.6_none_K26-28_attempt01_f11c7015	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-28-attempt-01.log
K26-29	1	2026-08-06T17:07:43+00:00	2026-08-06T17:08:16+00:00	0	runs/aiwf_medium_context/20260806T170743Z_moonshotai_Kimi-K2.6_none_K26-29_attempt01_d3be7bc2	30	30	5	30	30	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-29-attempt-01.log
K26-30	1	2026-08-06T17:08:46+00:00	2026-08-06T17:09:16+00:00	0	runs/aiwf_medium_context/20260806T170846Z_moonshotai_Kimi-K2.6_none_K26-30_attempt01_06799710	30	30	6	30	29	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-30-attempt-01.log
