slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
110	none	1	2026-08-07T12:51:46+00:00	2026-08-07T12:52:32+00:00	unknown	runs/aiwf_medium_context/20260807T125146Z_google_gemma-4-31B-it_none_slot110_attempt01_983aeff3	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot110-none-attempt01.log
111	none	1	2026-08-07T12:52:32+00:00	2026-08-07T12:53:18+00:00	unknown	runs/aiwf_medium_context/20260807T125232Z_google_gemma-4-31B-it_none_slot111_attempt01_96559307	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot111-none-attempt01.log
112	none	1	2026-08-07T12:53:18+00:00	2026-08-07T12:54:02+00:00	unknown	runs/aiwf_medium_context/20260807T125318Z_google_gemma-4-31B-it_none_slot112_attempt01_c205a583	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot112-none-attempt01.log
113	none	1	2026-08-07T12:54:02+00:00	2026-08-07T12:54:49+00:00	unknown	runs/aiwf_medium_context/20260807T125402Z_google_gemma-4-31B-it_none_slot113_attempt01_68c0c6a4	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot113-none-attempt01.log
114	none	1	2026-08-07T12:54:50+00:00	2026-08-07T12:55:36+00:00	unknown	runs/aiwf_medium_context/20260807T125450Z_google_gemma-4-31B-it_none_slot114_attempt01_74c3cdec	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot114-none-attempt01.log
115	none	1	2026-08-07T12:55:36+00:00	2026-08-07T12:56:22+00:00	unknown	runs/aiwf_medium_context/20260807T125536Z_google_gemma-4-31B-it_none_slot115_attempt01_8f061918	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot115-none-attempt01.log
116	none	1	2026-08-07T12:56:22+00:00	2026-08-07T12:57:09+00:00	unknown	runs/aiwf_medium_context/20260807T125622Z_google_gemma-4-31B-it_none_slot116_attempt01_0642cb98	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot116-none-attempt01.log
117	none	1	2026-08-07T12:57:09+00:00	2026-08-07T12:57:56+00:00	unknown	runs/aiwf_medium_context/20260807T125709Z_google_gemma-4-31B-it_none_slot117_attempt01_6067ea21	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot117-none-attempt01.log
118	none	1	2026-08-07T12:57:56+00:00	2026-08-07T12:58:41+00:00	unknown	runs/aiwf_medium_context/20260807T125756Z_google_gemma-4-31B-it_none_slot118_attempt01_fbbc712d	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot118-none-attempt01.log
119	none	1	2026-08-07T12:58:41+00:00	2026-08-07T12:59:29+00:00	unknown	runs/aiwf_medium_context/20260807T125841Z_google_gemma-4-31B-it_none_slot119_attempt01_46b9af88	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot119-none-attempt01.log
120	none	1	2026-08-07T12:59:29+00:00	2026-08-07T13:00:12+00:00	unknown	runs/aiwf_medium_context/20260807T125929Z_google_gemma-4-31B-it_none_slot120_attempt01_de7a395b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot120-none-attempt01.log
