slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
34	on-unbounded	1	2026-08-12T01:42:14+00:00	2026-08-12T01:43:27+00:00	unknown	runs/aiwf_medium_context/20260812T014214Z_nemotron-3.5-lightning_on-unbounded_slot034_attempt01_2cb630f1	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot034-on-unbounded-attempt01.log
35	on-unbounded	1	2026-08-12T01:43:27+00:00	2026-08-12T01:45:04+00:00	unknown	runs/aiwf_medium_context/20260812T014327Z_nemotron-3.5-lightning_on-unbounded_slot035_attempt01_4262a4d6	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot035-on-unbounded-attempt01.log
36	off	1	2026-08-12T01:45:04+00:00	2026-08-12T01:45:09+00:00	unknown	runs/aiwf_medium_context/20260812T014504Z_nemotron-3.5-lightning_off_slot036_attempt01_301ed4c7	7	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot036-off-attempt01.log
37	off	1	2026-08-12T01:45:10+00:00	2026-08-12T01:45:17+00:00	unknown	runs/aiwf_medium_context/20260812T014510Z_nemotron-3.5-lightning_off_slot037_attempt01_84205a20	8	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot037-off-attempt01.log
38	on-unbounded	1	2026-08-12T01:45:17+00:00	2026-08-12T01:46:36+00:00	unknown	runs/aiwf_medium_context/20260812T014517Z_nemotron-3.5-lightning_on-unbounded_slot038_attempt01_5b465cbc	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot038-on-unbounded-attempt01.log
39	on-unbounded	1	2026-08-12T01:46:36+00:00	2026-08-12T01:47:49+00:00	unknown	runs/aiwf_medium_context/20260812T014636Z_nemotron-3.5-lightning_on-unbounded_slot039_attempt01_07eb194a	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot039-on-unbounded-attempt01.log
40	off	1	2026-08-12T01:47:49+00:00	2026-08-12T01:48:08+00:00	unknown	runs/aiwf_medium_context/20260812T014749Z_nemotron-3.5-lightning_off_slot040_attempt01_add548a9	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot040-off-attempt01.log
41	off	1	2026-08-12T01:48:08+00:00	2026-08-12T01:48:26+00:00	unknown	runs/aiwf_medium_context/20260812T014808Z_nemotron-3.5-lightning_off_slot041_attempt01_fa84eb4b	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot041-off-attempt01.log
42	on-unbounded	1	2026-08-12T01:48:26+00:00	2026-08-12T01:49:44+00:00	unknown	runs/aiwf_medium_context/20260812T014826Z_nemotron-3.5-lightning_on-unbounded_slot042_attempt01_2037913d	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot042-on-unbounded-attempt01.log
43	on-unbounded	1	2026-08-12T01:49:44+00:00	2026-08-12T01:50:54+00:00	unknown	runs/aiwf_medium_context/20260812T014944Z_nemotron-3.5-lightning_on-unbounded_slot043_attempt01_a887696d	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot043-on-unbounded-attempt01.log
44	off	1	2026-08-12T01:50:54+00:00	2026-08-12T01:51:11+00:00	unknown	runs/aiwf_medium_context/20260812T015054Z_nemotron-3.5-lightning_off_slot044_attempt01_3909e20d	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot044-off-attempt01.log
45	off	1	2026-08-12T01:51:11+00:00	2026-08-12T01:51:17+00:00	unknown	runs/aiwf_medium_context/20260812T015111Z_nemotron-3.5-lightning_off_slot045_attempt01_1880f13f	9	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot045-off-attempt01.log
46	on-unbounded	1	2026-08-12T01:51:17+00:00	2026-08-12T01:52:44+00:00	unknown	runs/aiwf_medium_context/20260812T015117Z_nemotron-3.5-lightning_on-unbounded_slot046_attempt01_21624415	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot046-on-unbounded-attempt01.log
47	on-unbounded	1	2026-08-12T01:52:44+00:00	2026-08-12T01:53:58+00:00	unknown	runs/aiwf_medium_context/20260812T015244Z_nemotron-3.5-lightning_on-unbounded_slot047_attempt01_365487b3	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot047-on-unbounded-attempt01.log
48	off	1	2026-08-12T01:53:58+00:00	2026-08-12T01:54:14+00:00	unknown	runs/aiwf_medium_context/20260812T015358Z_nemotron-3.5-lightning_off_slot048_attempt01_4450b0c7	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot048-off-attempt01.log
49	off	1	2026-08-12T01:54:14+00:00	2026-08-12T01:54:32+00:00	unknown	runs/aiwf_medium_context/20260812T015414Z_nemotron-3.5-lightning_off_slot049_attempt01_9f3ec4b7	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot049-off-attempt01.log
50	on-unbounded	1	2026-08-12T01:54:32+00:00	2026-08-12T01:56:01+00:00	unknown	runs/aiwf_medium_context/20260812T015432Z_nemotron-3.5-lightning_on-unbounded_slot050_attempt01_b94ab765	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot050-on-unbounded-attempt01.log
51	on-unbounded	1	2026-08-12T01:56:01+00:00	2026-08-12T01:57:22+00:00	unknown	runs/aiwf_medium_context/20260812T015601Z_nemotron-3.5-lightning_on-unbounded_slot051_attempt01_a490fd77	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot051-on-unbounded-attempt01.log
52	off	1	2026-08-12T01:57:22+00:00	2026-08-12T01:57:28+00:00	unknown	runs/aiwf_medium_context/20260812T015722Z_nemotron-3.5-lightning_off_slot052_attempt01_7e3de8bb	7	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot052-off-attempt01.log
53	off	1	2026-08-12T01:57:28+00:00	2026-08-12T01:57:44+00:00	unknown	runs/aiwf_medium_context/20260812T015728Z_nemotron-3.5-lightning_off_slot053_attempt01_a72ea61e	24	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot053-off-attempt01.log
54	on-unbounded	1	2026-08-12T01:57:44+00:00	2026-08-12T01:59:12+00:00	unknown	runs/aiwf_medium_context/20260812T015744Z_nemotron-3.5-lightning_on-unbounded_slot054_attempt01_8eedbfd3	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot054-on-unbounded-attempt01.log
55	on-unbounded	1	2026-08-12T01:59:13+00:00	2026-08-12T02:00:29+00:00	unknown	runs/aiwf_medium_context/20260812T015913Z_nemotron-3.5-lightning_on-unbounded_slot055_attempt01_c968c17a	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot055-on-unbounded-attempt01.log
56	off	1	2026-08-12T02:00:30+00:00	2026-08-12T02:00:36+00:00	unknown	runs/aiwf_medium_context/20260812T020030Z_nemotron-3.5-lightning_off_slot056_attempt01_824ae435	8	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot056-off-attempt01.log
57	off	1	2026-08-12T02:00:36+00:00	2026-08-12T02:00:43+00:00	unknown	runs/aiwf_medium_context/20260812T020036Z_nemotron-3.5-lightning_off_slot057_attempt01_ae0322af	9	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot057-off-attempt01.log
58	on-unbounded	1	2026-08-12T02:00:43+00:00	2026-08-12T02:02:04+00:00	unknown	runs/aiwf_medium_context/20260812T020043Z_nemotron-3.5-lightning_on-unbounded_slot058_attempt01_f73b00a7	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot058-on-unbounded-attempt01.log
59	on-unbounded	1	2026-08-12T02:02:04+00:00	2026-08-12T02:03:27+00:00	unknown	runs/aiwf_medium_context/20260812T020204Z_nemotron-3.5-lightning_on-unbounded_slot059_attempt01_c1d28f50	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot059-on-unbounded-attempt01.log
60	off	1	2026-08-12T02:03:27+00:00	2026-08-12T02:03:33+00:00	unknown	runs/aiwf_medium_context/20260812T020327Z_nemotron-3.5-lightning_off_slot060_attempt01_fe8fdcd9	7	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot060-off-attempt01.log
