slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
30	none	1	2026-08-07T10:27:25+00:00	2026-08-07T10:28:05+00:00	unknown	runs/aiwf_medium_context/20260807T102725Z_google_gemma-4-31B-it_none_slot030_attempt01_47a74526	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot030-none-attempt01.log
31	none	1	2026-08-07T10:28:05+00:00	2026-08-07T10:28:43+00:00	unknown	runs/aiwf_medium_context/20260807T102805Z_google_gemma-4-31B-it_none_slot031_attempt01_31039d4c	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot031-none-attempt01.log
32	none	1	2026-08-07T10:28:43+00:00	2026-08-07T10:29:19+00:00	unknown	runs/aiwf_medium_context/20260807T102843Z_google_gemma-4-31B-it_none_slot032_attempt01_da6304d5	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot032-none-attempt01.log
33	none	1	2026-08-07T10:29:19+00:00	2026-08-07T10:30:04+00:00	unknown	runs/aiwf_medium_context/20260807T102919Z_google_gemma-4-31B-it_none_slot033_attempt01_c4013d30	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot033-none-attempt01.log
34	none	1	2026-08-07T10:30:04+00:00	2026-08-07T10:30:44+00:00	unknown	runs/aiwf_medium_context/20260807T103004Z_google_gemma-4-31B-it_none_slot034_attempt01_cb02eced	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot034-none-attempt01.log
35	none	1	2026-08-07T10:30:44+00:00	2026-08-07T10:31:25+00:00	unknown	runs/aiwf_medium_context/20260807T103044Z_google_gemma-4-31B-it_none_slot035_attempt01_04fe8028	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot035-none-attempt01.log
36	none	1	2026-08-07T10:31:25+00:00	2026-08-07T10:32:10+00:00	unknown	runs/aiwf_medium_context/20260807T103125Z_google_gemma-4-31B-it_none_slot036_attempt01_51387e33	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot036-none-attempt01.log
37	none	1	2026-08-07T10:32:10+00:00	2026-08-07T10:33:11+00:00	unknown	runs/aiwf_medium_context/20260807T103210Z_google_gemma-4-31B-it_none_slot037_attempt01_55364dce	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot037-none-attempt01.log
38	none	1	2026-08-07T10:33:11+00:00	2026-08-07T10:33:51+00:00	unknown	runs/aiwf_medium_context/20260807T103311Z_google_gemma-4-31B-it_none_slot038_attempt01_bdaa4ee1	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot038-none-attempt01.log
39	none	1	2026-08-07T10:33:51+00:00	2026-08-07T10:34:32+00:00	unknown	runs/aiwf_medium_context/20260807T103351Z_google_gemma-4-31B-it_none_slot039_attempt01_55a75cdd	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot039-none-attempt01.log
40	none	1	2026-08-07T10:34:32+00:00	2026-08-07T10:35:12+00:00	unknown	runs/aiwf_medium_context/20260807T103432Z_google_gemma-4-31B-it_none_slot040_attempt01_95aa5534	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot040-none-attempt01.log
41	none	1	2026-08-07T10:35:12+00:00	2026-08-07T10:35:56+00:00	unknown	runs/aiwf_medium_context/20260807T103512Z_google_gemma-4-31B-it_none_slot041_attempt01_70fadd31	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot041-none-attempt01.log
42	none	1	2026-08-07T10:35:56+00:00	2026-08-07T10:36:35+00:00	unknown	runs/aiwf_medium_context/20260807T103556Z_google_gemma-4-31B-it_none_slot042_attempt01_5b93e321	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot042-none-attempt01.log
43	none	1	2026-08-07T10:36:35+00:00	2026-08-07T10:37:13+00:00	unknown	runs/aiwf_medium_context/20260807T103635Z_google_gemma-4-31B-it_none_slot043_attempt01_7b866156	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot043-none-attempt01.log
44	none	1	2026-08-07T10:37:13+00:00	2026-08-07T10:37:49+00:00	unknown	runs/aiwf_medium_context/20260807T103713Z_google_gemma-4-31B-it_none_slot044_attempt01_7e0f427a	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot044-none-attempt01.log
